Rank,Name,Country,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook
251–300,University of São Paulo,Brazil,46.9–50.0,56.4,54.0,40.6,39.9,33.9
33.9,501–600,University of Campinas,Brazil,35.3–38.7,44.6,38.0,34.8,44.8
44.8,30.6,601–800,Federal University of Minas Gerais,Brazil,28.3–35.2,30.2,17.9,52.0
52.0,38.8,29.6,601–800,Universidade Federal do Rio Grande do Sul,Brazil,28.3–35.2,29.6,18.3
18.3,49.3,46.5,26.3,601–800,Universidade Federal de Santa Catarina,Brazil,28.3–35.2,28.4
28.4,13.1,52.6,38.7,29.4,601–800,Universidade Federal de São Paulo (UNIFESP),Brazil,28.3–35.2
28.3–35.2,32.6,17.8,43.3,35.7,28.6,601–800,Pontifical Catholic University of Rio de Janeiro (PUC-Rio),Brazil
Brazil,28.3–35.2,27.4,25.6,27.9,99.5,41.5,801–1000,University of Brasília
University of Brasília,Brazil,22.2–28.2,25.8,14.4,36.8,34.5,30.9,801–1000
801–1000,Universidade Estadual Paulista (Unesp),Brazil,22.2–28.2,34.4,23.0,16.8,36.9,25.1
25.1,801–1000,Federal University of Pelotas,Brazil,22.2–28.2,17.9,11.0,48.6,34.4
34.4,20.0,801–1000,Federal University of Rio de Janeiro,Brazil,22.2–28.2,34.4,22.0,26.1
26.1,35.5,28.7,801–1000,Pontifical Catholic University of Rio Grande do Sul (PUCRS),Brazil,22.2–28.2,18.7,13.5
13.5,41.1,49.7,25.8,1001+,University of Caxias do Sul,Brazil,10.7–22.1,13.8
13.8,7.8,7.6,35.0,17.7,1001+,Ceará State University,Brazil,10.7–22.1
10.7–22.1,16.2,8.3,6.1,35.6,16.3,1001+,Universidade do Estado do Rio de Janeiro (UERJ),Brazil
Brazil,10.7–22.1,24.2,10.9,15.2,38.1,21.6,1001+,Universidade do Estado de Santa Catarina
Universidade do Estado de Santa Catarina,Brazil,10.7–22.1,18.1,9.3,19.6,34.5,16.0,1001+
1001+,Universidade Estadual de Maringá,Brazil,10.7–22.1,19.6,10.0,8.8,34.7,17.4
17.4,1001+,Universidade Estadual do Oeste do Paraná (Unioeste),Brazil,10.7–22.1,18.8,10.7,4.0,34.9
34.9,15.2,1001+,Universidade Federal do ABC (UFABC),Brazil,10.7–22.1,15.9,11.8,24.1
24.1,35.8,33.4,1001+,Federal University of Alagoas,Brazil,10.7–22.1,16.5,6.8
6.8,12.2,34.9,21.5,1001+,Universidade Federal da Bahia,Brazil,10.7–22.1,21.8
21.8,13.7,18.7,34.4,23.9,1001+,Universidade Federal do Ceará (UFC),Brazil,10.7–22.1
10.7–22.1,22.4,11.8,20.7,38.6,25.8,1001+,Universidade Federal de Ciências da Saúde de Porto Alegre (UFCSPA),Brazil
Brazil,10.7–22.1,20.3,10.5,12.9,34.4,18.0,1001+,Federal University of Espírito Santo
Federal University of Espírito Santo,Brazil,10.7–22.1,17.9,9.3,16.2,36.1,22.4,1001+
1001+,Federal University of Goiás,Brazil,10.7–22.1,23.3,9.7,14.2,39.6,20.4
20.4,1001+,Federal University of Itajubá,Brazil,10.7–22.1,16.3,8.9,19.8,36.5
36.5,22.7,1001+,Federal University of Lavras,Brazil,10.7–22.1,23.9,16.8,11.2
11.2,54.8,18.8,1001+,Federal University of Mato Grosso do Sul,Brazil,10.7–22.1,17.1,6.9
6.9,7.4,34.4,16.8,1001+,Universidade Federal de Ouro Preto (UFOP),Brazil,10.7–22.1,16.3
16.3,9.6,19.4,36.4,20.6,1001+,Federal University of Pará,Brazil,10.7–22.1
10.7–22.1,17.1,9.6,11.8,34.8,24.0,1001+,Universidade Federal do Paraná (UFPR),Brazil
Brazil,10.7–22.1,24.4,11.5,12.7,35.1,22.2,1001+,Universidade Federal de Pernambuco
Universidade Federal de Pernambuco,Brazil,10.7–22.1,26.9,9.2,14.3,35.9,20.8,1001+
1001+,Federal University of Rio Grande do Norte (UFRN),Brazil,10.7–22.1,19.6,8.7,19.0,41.6,23.2
23.2,1001+,Universidade Federal Rural do Semi-Arido,Brazil,10.7–22.1,27.5,7.7,1.7,34.4
34.4,14.0,1001+,Federal University of Santa Maria,Brazil,10.7–22.1,20.4,8.8,13.5
13.5,35.0,17.4,1001+,Federal University of São Carlos,Brazil,10.7–22.1,26.2,13.4
13.4,17.3,41.2,24.5,1001+,Federal University of Viçosa,Brazil,10.7–22.1,28.1
28.1,14.3,12.3,47.6,20.1,1001+,Fluminense Federal University,Brazil,10.7–22.1
10.7–22.1,20.0,11.3,14.8,35.2,23.5,1001+,University of Fortaleza (UNIFOR),Brazil
Brazil,10.7–22.1,14.8,7.3,41.4,34.4,29.1,1001+,Londrina State University
Londrina State University,Brazil,10.7–22.1,21.4,13.3,16.3,34.4,18.7,1001+
1001+,Pontifical Catholic University of Minas Gerais,Brazil,10.7–22.1,15.3,7.7,6.7,35.1,19.4
19.4,1001+,Pontifícia Universidade Católica do Paraná,Brazil,10.7–22.1,17.4,10.2,23.7,35.9
35.9,27.1,1001+,State University of Ponta Grossa,Brazil,10.7–22.1,17.6,8.5,26.5
26.5,34.4,18.4,1001+,State University of Santa Cruz,Brazil,10.7–22.1,27.4,7.6
7.6,8.5,35.7,23.4,1001+,Universidade Tecnológica Federal do Paraná (UTFPR),Brazil,10.7–22.1,15.4
15.4,9.2,8.6,37.3,19.3,1001+,Unisinos University,Brazil,10.7–22.1
10.7–22.1,18.4,10.0,21.5,46.3,19.7,,,
